category,type,difficulty,question,correct_answer,incorrect_answers
Geography,multiple,easy,Which of the following Arab countries does NOT have a flag containing only Pan-Arab colours?,Qatar,"[""Kuwait"", ""United Arab Emirates"", ""Jordan""]"
Entertainment: Film,multiple,medium,Which actor plays the role of the main antagonist in the 2011 movie &quot;Tower Heist?&quot;,Alan Alda,"[""Eddie Murphy"", ""Alec Baldwin"", ""Kevin Nealon""]"
General Knowledge,boolean,easy,The disease cancer in itself is not contagious.,True,"[""False""]"
Entertainment: Cartoon &amp; Animations,multiple,medium,What is Dipper&#039;s real name from &quot;Gravity Falls&quot;?,Mason Pines,"[""Mable Pines"", ""Jason Pines"", ""Mark Pines""]"
Entertainment: Music,multiple,medium,Ellie Goulding&#039;s earliest album was named?,Lights,"[""Halcyon"", ""Bright Lights"", ""Halcyon Days""]"
Entertainment: Music,multiple,easy,What Led Zeppelin album contains &quot;Stairway to Heaven&quot;?,Led Zeppelin IV,"[""Houses of the Holy"", ""Physical Graffiti"", ""Led Zeppelin III""]"
History,multiple,easy,What year did World War II end?,1945,"[""1943"", ""1947"", ""1950""]"
General Knowledge,multiple,hard,Which of these Indian languages is not part of the Indo-European language family?,Tamil,"[""Hindi"", ""Punjabi"", ""Urdu""]"
Entertainment: Music,multiple,medium,Who is the lead singer of The Lumineers?,Wesley Schultz,"[""Jeremiah Fraites"", ""Jay Van Dyke"", ""Neyla Pekarek""]"
Entertainment: Video Games,multiple,medium,What is not a default game mode in Counter-Strike (2000)?,Arms Race,"[""Hostage Rescue"", ""Bomb Defusal"", ""Assassination""]"
Entertainment: Music,multiple,hard,How many members are there in the idol group &quot;&micro;&#039;s&quot;?,9,"[""48"", ""6"", ""3""]"
Entertainment: Video Games,multiple,easy,Which of the following is not a faction in Tom Clancy&#039;s The Division?,CDC,"[""Cleaners"", ""Last Man Batallion"", ""Rikers""]"
Entertainment: Film,boolean,easy,The word &quot;Inception&quot; came from the 2010 blockbuster hit &quot;Inception&quot;.,False,"[""True""]"
Entertainment: Video Games,multiple,easy,The football video game series &quot;Pro Evolution Soccer&quot; is developed by which company?,Konami,"[""Square Enix"", ""Electronic Arts"", ""THQ""]"
Vehicles,multiple,easy,What is the fastest road legal car in the world?,Koenigsegg Agera RS,"[""Hennessy Venom GT"", ""Bugatti Veyron Super Sport"", ""Pagani Huayra BC""]"
Sports,multiple,medium,Edson Arantes do Nascimento is the full name of which legendary football player?,Pel&eacute;,"[""Rom&aacute;rio"", ""Zico"", ""Ronaldinho""]"
Entertainment: Video Games,boolean,medium,"In &quot;Call Of Duty: Zombies&quot;, you can upgrade the &quot;Apothicon Servant&quot; in the &quot;Shadows Of Evil&quot; map.",False,"[""True""]"
Entertainment: Video Games,multiple,easy,Who was the voice actor for Snake in Metal Gear Solid V: The Phantom Pain?,Kiefer Sutherland,"[""David Hayter"", ""Norman Reedus"", ""Hideo Kojima""]"
Entertainment: Music,multiple,medium,"Which band, with Boy George on lead vocals, won the Brit Awards in 1984?",Culture Club	,"[""Eurythmics"", ""UB40"", ""The Police""]"
Entertainment: Music,multiple,medium,"Prior to going solo in 1982, Lionel Richie was a member of which Motown group?",The Commodores,"[""The Temptations"", ""The Miracles"", ""The Supremes""]"
Celebrities,multiple,medium,Which radio personality calls himself &quot;The King of All Media&quot;?,Howard Stern,"[""Rush Limbaugh"", ""Pete Tong"", ""Ryan Seacrest""]"
Entertainment: Film,multiple,medium,"In The Lord of the Rings: The Fellowship of the Ring, which one of the following characters from the book was left out of the film?",Tom Bombadil,"[""Strider"", ""Barliman Butterbur"", ""Celeborn""]"
Sports,multiple,medium,Which of the following player scored a hat-trick during their Manchester United debut?,Wayne Rooney,"[""Cristiano Ronaldo"", ""Robin Van Persie"", ""David Beckham""]"
Science &amp; Nature,multiple,hard,Which Landsat Satellite currently has had the longest operational life?,Landsat 5,"[""Landsat 8"", ""Landsat 7"", ""Landsat 6""]"
Entertainment: Books,multiple,medium,What is the make and model of the tour vehicles in &quot;Jurassic Park&quot; (1990)?,1989 Toyota Land Cruiser,"[""1989 Jeep Wrangler YJ Sahar"", ""1989 Ford Explorer XLT"", ""Mercedes M-Class""]"
History,multiple,medium,In what prison was Adolf Hitler held in 1924?,Landsberg Prison,"[""Spandau Prison"", ""Ebrach Abbey"", ""Hohenasperg""]"
Science: Gadgets,multiple,easy,When was the DVD invented?,1995,"[""2000"", ""1990"", ""1980""]"
Science: Computers,multiple,hard,Which of these is not a layer in the OSI model for data communications?,Connection Layer,"[""Application Layer"", ""Transport Layer"", ""Physical Layer""]"
Vehicles,boolean,medium,Arriva is owned by the Deutsche Bahn.,True,"[""False""]"
Entertainment: Cartoon &amp; Animations,multiple,medium,Nickelodeon is owned by what parent company?,Viacom,"[""CBS"", ""FOX"", ""ABC""]"
History,multiple,hard,"When was the city of Rome, Italy founded?",753 BCE,"[""902 BCE"", ""524 BCE"", ""697 BCE""]"
Entertainment: Music,boolean,medium,Pink Guy&#039;s debut album was &quot;Pink Season&quot;.,False,"[""True""]"
Entertainment: Film,multiple,easy,"In the movie &quot;Blade Runner&quot;, what is the term used for human-like androids ?",Replicants,"[""Cylons"", ""Synthetics"", ""Skinjobs""]"
Geography,multiple,easy,Which country is the home of the largest Japanese population outside of Japan?,Brazil,"[""China"", ""Russia"", ""The United States""]"
Sports,multiple,medium,Who won the 2018 Monaco Grand Prix?,Daniel Ricciardo,"[""Sebastian Vettel"", ""Kimi Raikkonen"", ""Lewis Hamilton""]"
Entertainment: Music,multiple,medium,"According to their 1974 hit, what were Brownsville Station doing &quot;In The Boys&#039; Room&quot;?",Smokin&#039;,"[""Hangin&#039;"", ""Lovin&#039;"", ""Peein&#039;""]"
Entertainment: Music,multiple,easy,Which of these is the name of a song by Tears for Fears?,Shout,"[""Scream"", ""Yell"", ""Shriek""]"
General Knowledge,multiple,medium,What year was Apple Inc. founded?,1976,"[""1978"", ""1980"", ""1974""]"
Entertainment: Japanese Anime &amp; Manga,multiple,easy,Which anime heavily features music from the genre &quot;Eurobeat&quot;?,Initial D,"[""Wangan Midnight"", ""Kino no Tabi"", ""Cowboy Bebop""]"
Entertainment: Video Games,multiple,medium,"In the Mass Effect trilogy, who is the main protagonist?",Shepard,"[""Mordin"", ""Garrus"", ""Thane""]"
History,multiple,easy,Who discovered Penicillin?,Alexander Flemming,"[""Marie Curie"", ""Alfred Nobel"", ""Louis Pasteur""]"
History,multiple,easy,Which of the following African countries was most successful in resisting colonization?,Ethiopia,"[""C&ocirc;te d&rsquo;Ivoire"", ""Congo"", ""Namibia""]"
Entertainment: Video Games,multiple,hard,"In the Nintendo Game Splatoon 2, what is Marina&#039;s screen name?",DJ_Hyperfresh,"[""MC.princess"", ""Kidnotsquid123"", ""I&lt;30ffTh3H00k""]"
Politics,multiple,hard,"&quot;Yes, America Can!&quot; was this United States politician&#039;s de facto campaign slogan in 2004.",George W. Bush,"[""John Kerry"", ""Barack Obama"", ""Al Gore""]"
General Knowledge,multiple,medium,What is a Burgee?,A flag,"[""A rope"", ""A window"", ""A type of food""]"
Entertainment: Board Games,boolean,easy,The Angry Video Game Nerd&#039;s alter ego is &quot;Board James&quot;.,True,"[""False""]"
Entertainment: Video Games,boolean,medium,"In the Resident Evil series, Leon S. Kennedy is a member of STARS.",False,"[""True""]"
Science: Computers,multiple,hard,Which of these was the name of a bug found in April 2014 in the publicly available OpenSSL cryptography library?,Heartbleed,"[""Shellshock"", ""Corrupted Blood"", ""Shellscript""]"
Entertainment: Video Games,multiple,easy,In what year was Garry&#039;s Mod released as a standalone title on Valve&#039;s Steam distribution service?,2006,"[""2007"", ""2004"", ""2003""]"
Entertainment: Music,multiple,medium,What song on ScHoolboy Q&#039;s album Black Face LP featured Kanye West?,THat Part,"[""Neva CHange"", ""Big Body"", ""Blank Face""]"
History,multiple,hard,"In the year 1900, what were the most popular first names given to boy and girl babies born in the United States?",John and Mary,"[""Joseph and Catherine"", ""William and Elizabeth"", ""George and Anne""]"
Science &amp; Nature,boolean,medium,The Neanderthals were a direct ancestor of modern humans.,False,"[""True""]"
Celebrities,boolean,medium,Terry Gilliam is the only American member of the comedy troupe &quot;Monty Python.&quot;,True,"[""False""]"
Entertainment: Music,multiple,medium,How many copies have Metallica album &quot;Metallica&quot; (A.K.A The Black Album) sold worldwide (in Millions of Copies)?,20.5,"[""19.5"", ""22.5"", ""25.5""]"
History,multiple,hard,When did the French Revolution begin?,1789,"[""1823"", ""1756"", ""1799""]"
Entertainment: Video Games,multiple,medium,Who is the protagonist in Dead Rising 3?,Nick Ramos,"[""Frank West"", ""Chuck Greene"", ""Isabela Keyes""]"
Sports,multiple,easy,Who won the 2015 Formula 1 World Championship?,Lewis Hamilton,"[""Nico Rosberg"", ""Sebastian Vettel"", ""Jenson Button""]"
Entertainment: Video Games,multiple,medium,How many Mudokons are rescuable in &quot;Oddworld: New &#039;N&#039; Tasty&quot;?,299,"[""301"", ""50"", ""300""]"
Entertainment: Books,multiple,medium,"In Michael Crichton&#039;s novel &quot;Jurassic Park&quot;, John Hammond meets his demise at the claws of which dinosaur?",Procompsognathus,"[""Dilophosaurus"", ""Tyrannosaurus Rex"", ""Velociraptor""]"
History,boolean,easy,The French Kingdom helped the United States gain their independence over Great Britain during the Revolutionary War.,True,"[""False""]"
General Knowledge,multiple,easy,Which country has the Union Jack in its flag?,New Zealand,"[""South Africa"", ""Canada"", ""Hong Kong""]"
Entertainment: Video Games,multiple,easy,"In the Nintendo DS game &#039;Ghost Trick: Phantom Detective&#039;, what is the name of the hitman seen at the start of the game?",Nearsighted Jeego,"[""One Step Ahead Tengo"", ""Missile"", ""Cabanela""]"
Entertainment: Japanese Anime &amp; Manga,multiple,hard,Who was the Author of the manga Monster Hunter Orage?,Hiro Mashima,"[""Shin Yamamoto"", ""Keiichi Hikami"", ""Hirohiko Araki""]"
Entertainment: Cartoon &amp; Animations,multiple,easy,What is the name of the creatures that the protagonists of the webshow RWBY fight against?,Grimm,"[""Reavers"", ""Heartless"", ""Dark Ones""]"
General Knowledge,multiple,easy,In which year did Ghana gain independence?,1957,"[""1947"", ""1960"", ""1958""]"
Entertainment: Video Games,multiple,hard,What was the name of the hero in the 80s animated video game &#039;Dragon&#039;s Lair&#039;?,Dirk the Daring,"[""Arthur"", ""Sir Toby Belch"", ""Guy of Gisbourne""]"
Entertainment: Video Games,multiple,easy,What are Sans and Papyrus named after in &quot;Undertale&quot;?,Fonts,"[""Plants"", ""Companies"", ""Ancient writing paper""]"
Entertainment: Video Games,multiple,medium,The first version of Blockland came out in which year?,2004,"[""2007"", ""2008"", ""2006""]"
General Knowledge,boolean,easy,The color orange is named after the fruit.,True,"[""False""]"
General Knowledge,boolean,medium,The scientific name for the Southern Lights is Aurora Australis?,True,"[""False""]"
Entertainment: Japanese Anime &amp; Manga,boolean,easy,The anime &quot;Lucky Star&quot; follows the story of one girl who is unaware she is God.,False,"[""True""]"
Entertainment: Video Games,multiple,easy,Who is the main character in Metal Gear Rising: Revengeance?,Raiden,"[""Solid Snake"", ""Otacon"", ""Revolver Ocelot""]"
Celebrities,multiple,hard,The eccentric natural philosopher Tycho Brahe kept what as a pet?,Moose,"[""Dog"", ""Bear"", ""Goat""]"
Entertainment: Video Games,boolean,hard,"TF2: Sentry rocket damage falloff is calculated based on the distance between the sentry and the enemy, not the engineer and the enemy",False,"[""True""]"
Entertainment: Music,multiple,easy,When was Gangnam Style uploaded to YouTube?,2012,"[""2013"", ""2014"", ""2011""]"
Science: Computers,multiple,easy,What kind of memory is used on memory cache?,SRAM,"[""DRAM"", ""ROM"", ""Flash""]"
Entertainment: Film,multiple,easy,Which of these movies did Jeff Bridges not star in?,The Hateful Eight,"[""Tron: Legacy"", ""The Giver"", ""True Grit""]"
Entertainment: Music,multiple,medium,In what year was Tchaikovsky&#039;s 1812 Overture composed?,1880,"[""1812"", ""1790"", ""1840""]"
History,multiple,medium,In what year was the last natural case of smallpox documented?,1977,"[""1982"", ""1980"", ""1990""]"
History,multiple,medium,"On which day did construction start on &quot;The Pentagon&quot;, the headquarters for the United States Department of Defense?","September 11, 1941","[""June 15, 1947"", ""January 15, 1943"", ""September 2, 1962""]"
Science &amp; Nature,multiple,easy,Which of these Elements is a metalloid?,Antimony,"[""Tin"", ""Bromine"", ""Rubidium""]"
Entertainment: Film,multiple,easy,Which of these films is NOT set in Los Angeles?,RoboCop,"[""Blade Runner"", ""The Terminator"", ""Predator 2""]"
Animals,multiple,hard,What scientific suborder does the family Hyaenidae belong to?,Feliformia,"[""Haplorhini"", ""Caniformia"", ""Ciconiiformes""]"
Entertainment: Music,multiple,easy,From which country did the song &quot;Gangnam Style&quot; originate from?,South Korea,"[""Japan"", ""North Korea"", ""China""]"
Entertainment: Video Games,multiple,easy,Who is the last boss in Night In The Woods&#039; Demontower minigame?,The Blood Thief,"[""Mega Hairball "", ""King Skellie "", ""Krampus ""]"
Science &amp; Nature,multiple,hard,How many objects are equivalent to one mole?,6.022 x 10^23,"[""6.002 x 10^22"", ""6.022 x 10^22"", ""6.002 x 10^23""]"
History,multiple,medium,In which year was Constantinople conquered by the Turks?,1453,"[""1435"", ""1454"", ""1440""]"
Entertainment: Music,multiple,hard,Which of these aliases has NOT been used by electronic musician Aphex Twin?,Burial,"[""Caustic Window"", ""Bradley Strider"", ""GAK""]"
Sports,multiple,easy,Which of these teams has Jaromir Jagr not played for?,New York Islanders,"[""Calgary Flames"", ""New Jersey Devils"", ""Dallas Stars""]"
Science &amp; Nature,multiple,medium,How many degrees Fahrenheit is 100 degrees Celsius? ,212,"[""326"", ""100"", ""451""]"
Entertainment: Japanese Anime &amp; Manga,multiple,hard,In which manga did the &quot;404 Girl&quot; from 4chan originate from?,Yotsuba&amp;!,"[""Azumanga Daioh"", ""Lucky Star"", ""Clover""]"
Entertainment: Video Games,multiple,easy,What is the name of the largest planet in Kerbal Space Program?,Jool,"[""Eeloo"", ""Kerbol"", ""Minmus""]"
General Knowledge,multiple,hard,"In the MMO RPG &quot;Realm of the Mad God&quot;, what dungeon is widely considered to be the most difficult?",The Shatter&#039;s,"[""Snake Pit"", ""The Tomb of the Acient&#039;s"", ""The Puppet Master&#039;s Theater""]"
Science: Computers,multiple,hard,What is the name given to layer 4 of the Open Systems Interconnection (ISO) model?,Transport,"[""Session"", ""Data link"", ""Network""]"
Entertainment: Comics,multiple,medium,"The success of DC Comics&#039; Swamp Thing, Sandman, and other books in a similar style, led to the creation of what new imprint in 1993?",Vertigo,"[""Impact"", ""New Universe"", ""Red Circle""]"
History,multiple,medium,Where was Abraham Lincoln when he was assassinated by John Wilkes Booth in 1865?,At the theatre,"[""On a boat"", ""On his horse"", ""In bed""]"
Science: Computers,multiple,hard,Which of these is not a key value of Agile software development?,Comprehensive documentation,"[""Individuals and interactions"", ""Customer collaboration"", ""Responding to change""]"
Entertainment: Video Games,boolean,medium,Super Mario Bros. was released in 1990.,False,"[""True""]"
Entertainment: Video Games,multiple,medium,"In the 2015 RPG &quot;Undertale&quot;, which character do you first encounter after falling down into the underground?",Flowey,"[""Toriel"", ""Sans"", ""Papyrus""]"
Art,multiple,easy,What is a fundamental element of the Gothic style of architecture?,pointed arch,"[""coffered ceilings"", ""fa&ccedil;ades surmounted by a pediment "", ""internal frescoes""]"
Entertainment: Video Games,multiple,medium,"In Terraria, what does the Wall of Flesh not drop upon defeat?",Picksaw,"[""Pwnhammer"", ""Breaker Blade"", ""Laser Rifle""]"
Entertainment: Books,multiple,medium,The novel &quot;Of Mice And Men&quot; was written by what author? ,John Steinbeck ,"[""George Orwell"", ""Mark Twain "", ""Harper Lee""]"
Entertainment: Cartoon &amp; Animations,multiple,medium,Who voiced Finn in Adventure Time?,Jeremy Shada,"[""Nolan North"", ""John DiMaggio"", ""Tom Kenny""]"
Entertainment: Music,multiple,medium,Where does &quot;Gasolina&quot; rapper Daddy Yankee originate from?,Puerto Rico,"[""Cuba"", ""Mexico"", ""Spain""]"
Entertainment: Japanese Anime &amp; Manga,multiple,hard,"&quot;Silhouette&quot;, a song performed by the group &#039;KANA-BOON&#039; is featured as the sixteenth opening of which anime?",Naruto: Shippūden,"[""One Piece"", ""Naruto"", ""Gurren Lagann""]"
Entertainment: Video Games,multiple,hard,"In Monster Hunter Generations, which of these hunter arts are exclusive to the Longsword?",Unhinged Spirit,"[""Shoryugeki"", ""Provoke"", ""Demon Riot""]"
History,multiple,medium,How many times was Albert Einstein married in his lifetime?,Twice,"[""Five"", ""Thrice"", ""Once""]"
Entertainment: Comics,multiple,medium,"In Bionicle, who was formerly a Av-Matoran and is now the Toa of Light?",Takua,"[""Jaller"", ""Vakama"", ""Tahu""]"
Entertainment: Video Games,multiple,easy,Which Final Fantasy game consisted of a female-only cast of party members?,Final Fantasy X-2,"[""Final Fantasy IX"", ""Final Fantasy V"", ""Final Fantasy XIII-2""]"
Sports,multiple,medium,Which basketball team has attended the most NBA grand finals?,Los Angeles Lakers,"[""Boston Celtics"", ""Philadelphia 76ers"", ""Golden State Warriors""]"
General Knowledge,multiple,hard,In the fictional SCP universe what &ldquo;Object Class&rdquo; is given to SCP&rsquo;s that cannot be contained.,Apollyon,"[""Thaumiel"", ""Keter-Thaumiel"", ""Esoteric/Narrative Classes""]"
Entertainment: Film,multiple,medium,Who voices the main character Blu in the 2011 animated film &quot;Rio&quot;?,Jesse Eisenberg,"[""Michael Cera"", ""Jonah Hill"", ""Zach Galifianakis""]"
General Knowledge,boolean,medium,Don Cheto is the host of the radio station &quot;East Los FM&quot; in GTA V.,True,"[""False""]"
Science: Computers,boolean,hard,DHCP stands for Dynamic Host Configuration Port.,False,"[""True""]"
General Knowledge,multiple,medium,"The new One World Trade Center in Manhattan, New York City was designed by which architect? ",David Childs,"[""Bjarke Ingels"", ""Michael Arad"", ""Fumihiko Maki""]"
General Knowledge,boolean,easy,The Lego Group was founded in 1932.,True,"[""False""]"
Science: Mathematics,multiple,hard,What is the derivative of Acceleration with respect to time?,Jerk,"[""Shift"", ""Bump"", ""Slide""]"
Entertainment: Music,multiple,easy,Kanye West at 2009 VMA&#039;s interrupted which celebrity?,Taylor Swift,"[""MF DOOM"", ""Beyonce"", ""Beck""]"
Entertainment: Film,multiple,medium,"What type of cheese, loved by Wallace and Gromit, had it&#039;s sale prices rise after their successful short films?",Wensleydale,"[""Cheddar"", ""Moon Cheese"", ""Edam""]"
Entertainment: Television,multiple,easy,"In the show &quot;Dragonball Z&quot;, what is the name of Cell&#039;s most powerful attack?",Solar Kamehameha,"[""Super Kamehameha"", ""Cell Kamehameha"", ""Android Kamehameha""]"
Entertainment: Music,multiple,easy,"What is the name of Death Grips Front Man, MC Ride?",Stefan Burnett,"[""Zach Hill"", ""Andy Morin"", ""Stanley Burrell""]"
Entertainment: Video Games,multiple,hard,What video game company developed the 2004 racing game &quot;Burnout 3: Takedown&quot;?,Criterion Games,"[""EA Black Box"", ""Codemasters"", ""Rockstar Games""]"
General Knowledge,multiple,medium,What Latin phrase roughly translates to &quot;seize the day&quot;?,Carpe diem,"[""Memento mori"", ""Plus ultra"", ""Sic semper tyrannis""]"
Entertainment: Video Games,multiple,medium,What is the main character&#039;s name in &quot;Braid&quot;?,Tim,"[""Boregard"", ""James"", ""Jackson""]"
Science: Computers,multiple,medium,.at is the top-level domain for what country?,Austria,"[""Argentina"", ""Australia"", ""Angola""]"
General Knowledge,boolean,easy,It is automatically considered entrapment in the United States if the police sell you illegal substances without revealing themselves.,False,"[""True""]"
Entertainment: Music,multiple,medium,Who was walking like an Egyptian in 1981?,The Bangles,"[""R.E.M."", ""The Ocean Blue"", ""The Connells""]"
Entertainment: Music,multiple,easy,The Red Hot Chili Pepper song &quot;Give It Away&quot; is from what album?,Blood Sugar Sex Magik,"[""One Hot Minute"", ""By the Way"", ""Stadium Arcadium""]"
Entertainment: Music,multiple,easy,"What is the real name of American rapper Eminem, also known as Slim Shady?",Marshall Mathers,"[""Calvin Broadus"", ""Shawn Carter"", ""Nasir Jones""]"
Entertainment: Japanese Anime &amp; Manga,multiple,medium,In &quot;Love Live: School Idol Project&quot; what pseudonym does Kotori Minami use in her job as a maid?,Minalinsky,"[""Stanoytchev"", ""Kuznetsov"", ""Aqours""]"
Entertainment: Film,multiple,easy,Who directed the 2015 movie &quot;The Revenant&quot;?,Alejandro G. I&ntilde;&aacute;rritu,"[""Christopher Nolan"", ""David Fincher"", ""Wes Anderson""]"
Entertainment: Board Games,multiple,medium,"In &quot;Magic: The Gathering&quot;, during the design for Planar Chaos, what color did the developers think of adding in as the sixth color?",Purple,"[""Brown"", ""Pink"", ""Orange""]"
Entertainment: Books,multiple,easy,Which famous book is sub-titled &#039;The Modern Prometheus&#039;?,Frankenstein,"[""Dracula"", ""The Strange Case of Dr. Jekyll and Mr. Hyde "", ""The Legend of Sleepy Hollow""]"
Geography,multiple,easy,What is the smallest country in the world?,Vatican City,"[""Maldives"", ""Monaco"", ""Malta""]"
Entertainment: Video Games,multiple,medium,Which Crypt of the NecroDancer (2015) character has a soundtrack by Jake &quot;Virt&quot; Kaufman?,Uncle Eli,"[""Cadence"", ""Nocturna"", ""Octavian (Bard)""]"
Entertainment: Video Games,boolean,easy,The 2005 video game &quot;Call of Duty 2: Big Red One&quot; is not available on PC.,True,"[""False""]"
Sports,multiple,medium,What cricketing term denotes a batsman being dismissed with a score of zero?,Duck,"[""Bye"", ""Beamer"", ""Carry""]"
Sports,multiple,medium,Which team was the 2014-2015 NBA Champions?,Golden State Warriors,"[""Cleveland Cavaliers"", ""Houston Rockets"", ""Atlanta Hawks""]"
Entertainment: Japanese Anime &amp; Manga,multiple,hard,"In the anime, Full Metal Panic!, who is Kaname&#039;s best friend?",Kyoko Tokiwa,"[""Melissa Mao"", ""Ren Mikihara"", ""Teletha &quot;Tessa&quot; Testarossa""]"
Entertainment: Video Games,boolean,easy,Niko Bellic is the protagonist of Grand Theft Auto IV.,True,"[""False""]"
General Knowledge,multiple,easy,What company developed the vocaloid Hatsune Miku?,Crypton Future Media,"[""Sega"", ""Sony"", ""Yamaha Corporation""]"
Entertainment: Video Games,multiple,medium,Who created the Final Fantasy series developed by Square Enix?,Hironobu Sakaguchi,"[""Yuji Horii"", ""Akira Toriyama"", ""Tetsuya Nomura""]"
Entertainment: Books,multiple,easy,"Who wrote &quot;The Scarlet Letter&quot;, published in 1850?",Nathaniel Hawthorne,"[""Washington Irving"", ""James Fenimore Cooper"", ""Catherine Maria Sedgwick""]"
Geography,multiple,easy,What is the capital of Spain?,Madrid,"[""Barcelona"", ""Sevilla"", ""Toledo""]"
General Knowledge,multiple,hard,"In flight systems, what does the initialism &quot;TCAS&quot; stand for?",Traffic Collision Avoidance System,"[""Traffic Communication Alert System"", ""Traffic Configuration Alignment System"", ""Traffic Call-sign Abbreviation System""]"
Entertainment: Musicals &amp; Theatres,multiple,medium,The Andrew Lloyd Webber musical &quot;Cats&quot; is based off a book of poems written by which author?,T.S. Elliot,"[""Andrew Lloyd Webber"", ""Emily Dickenson"", ""Robert Frost""]"
Entertainment: Video Games,multiple,medium,Which of these is NOT a terrorist faction in Counter-Strike (2000)?,Midwest Militia,"[""Phoenix Connection"", ""Elite Crew"", ""Guerrilla Warfare""]"
History,multiple,easy,In which year did the Invasion of Kuwait by Iraq occur?,1990,"[""1992"", ""1988"", ""1986""]"
Entertainment: Video Games,multiple,easy,"In &quot;Overwatch&quot;, what is the name of the company that made D.Va&#039;s mech?",MEKA,"[""MI8"", ""KPAMC"", ""JSAMB""]"
Entertainment: Music,multiple,easy,Ozzy Osbourne was the lead singer for what metal band?,Black Sabbath,"[""AC/DC"", ""Iron Maiden"", ""Judas Priest""]"
Entertainment: Television,boolean,medium,"Klingons respect their disabled comrades, and those who are old, injuried, and helpless.",False,"[""True""]"
Entertainment: Video Games,multiple,hard,Which game in the &quot;Monster Hunter&quot; series introduced the monster &quot;Gobul&quot;?,Monster Hunter Tri,"[""Monster Hunter Freedom Unite"", ""Monster Hunter Frontier"", ""Monster Hunter Generations""]"
Entertainment: Music,multiple,medium,What musician made the song &quot;F**kin` Perfect&quot; in 2010?,P!nk,"[""Mitis"", ""Adam lambert"", ""Koven""]"
Entertainment: Music,multiple,medium,"In The Bangles&#039; &#039;Manic Monday&#039;, what time is it already?",Six o&#039;clock,"[""Five o&#039;clock"", ""Four o&#039;clock"", ""Seven o&#039;clock""]"
Geography,multiple,medium,In which country is located the municipality of Arteijo?,Spain,"[""Morocco"", ""France"", ""Belgium""]"
Science: Computers,boolean,easy,The NVidia GTX 1080 gets its name because it can only render at a 1920x1080 screen resolution.,False,"[""True""]"
General Knowledge,multiple,hard,The Swedish word &quot;Grunka&quot; means what in English?,Thing,"[""People"", ""Place"", ""Pineapple""]"
Entertainment: Music,multiple,medium,Liam Howlett founded which electronic music group in 1990?,The Prodigy,"[""The Chemical Brothers"", ""The Crystal Method"", ""Infected Mushroom""]"
General Knowledge,multiple,medium,In 2013 how much money was lost by Nigerian scams?,$12.7 Billion,"[""$95 Million"", ""$956 Million"", ""$2.7 Billion""]"
Science: Mathematics,multiple,medium,Which of these probability distributions is NOT discrete?,Normal,"[""Binomial"", ""Poisson"", ""Hyper-geometric""]"
Entertainment: Comics,multiple,hard,"In the &quot;Archie&quot; comics, who was Jughead&#039;s first girlfriend?",Joani,"[""Ethel"", ""Debbi"", ""Margret""]"
Geography,multiple,medium,What is the largest Muslim country in the world?,Indonesia,"[""Pakistan"", ""Saudi Arabia"", ""Iran""]"
Geography,multiple,easy,Which small country is located between the borders of France and Spain?,Andorra,"[""San Marino"", ""Vatican City"", ""Lichtenstein""]"
History,multiple,medium,"According to scholarly estimates, what percentage of the world population at the time died due to Tamerlane&#039;s conquests?",5%,"[""1%"", ""3%"", ""&lt;1%""]"
Entertainment: Books,multiple,medium,"In Alice in Wonderland, what is the name of Alice&#039;s kitten?",Dinah,"[""Oscar"", ""Heath"", ""Smokey""]"
Entertainment: Video Games,boolean,medium,The ADAM collecters in the Bioshock series are known as Little Sisters.,True,"[""False""]"
Entertainment: Video Games,multiple,medium,When was the game &quot;Roblox&quot; released?,2006,"[""2003"", ""2002"", ""2007""]"
Geography,multiple,easy,Which of these is NOT an Australian state or territory?,Alberta,"[""New South Wales"", ""Victoria"", ""Queensland""]"
Entertainment: Cartoon &amp; Animations,multiple,hard,What was the release date of the first episode of &quot;The Powerpuff Girls&quot;?,"November 18, 1998","[""June 25, 1999"", ""July 28, 2000"", ""April 14, 2001""]"
Entertainment: Video Games,multiple,hard,The creation of the  Entertainment Software Ratings Board (ESRB) is often associated with Mortal Kombat and what FMV video game?,Night Trap,"[""Sewer Shark"", ""The Daedalus Encounter"", ""Corpse Killer""]"
Entertainment: Video Games,multiple,hard,"In &quot;Halo&quot;, what is the name of the planet which Installation 04 orbits?",Threshold,"[""Substance"", ""Sanghelios"", ""Te""]"
Entertainment: Video Games,multiple,hard,"In the remake of &quot;Resident Evil 2&quot;, which medallion does not exist?",Dragon Medallion,"[""Lion Medallion"", ""Unicorn Medallion"", ""Maiden Medallion""]"
Entertainment: Video Games,multiple,easy,"In &quot;World of Warcraft,&quot; which of the following can be found outside of every instanced dungeon?",A Meeting Stone,"[""A Summoning Stone"", ""A Gathering Stone"", ""A Hearthstone""]"
Entertainment: Video Games,multiple,medium,"In the game &quot;Persona 4&quot;, what is the canonical name of the protagonist?",Yu Narukami,"[""Chino Mashido"", ""Tunki Sunada"", ""Masaki Narinaka""]"
Entertainment: Board Games,boolean,medium,Wooden molding scraps were used to make the original Monopoly houses and hotels.,True,"[""False""]"
History,multiple,medium,The catastrophic nuclear accident that occurred in Ukraine in 1986 occurred at which power plant?,Chernobyl,"[""Ignalina"", ""Mayak"", ""Kursk""]"
